species,method,m,A,Jc,Jt,m_dL,m_dS
Chaetodon_Chaetodon_daedalma_1811677923,deeplearning,0.289258835,1.085249324,0.484408992,0.806769141,1.096858534,0.134988737
Chaetodon_Chaetodon_declivis_-274435096,deeplearning,0.108535879,1.200140792,0.619899875,0.694327077,1.036991927,0.164370789
Chaetodon_Chaetodon_decussatus_527122207,deeplearning,0.122175931,1.092743425,0.556072336,0.583656029,0.893605281,0.061588176
Chaetodon_Chaetodon_dialeucos_1297085044,deeplearning,0.179788902,1.191345023,0.616779559,0.579539756,0.770589457,0.056835609
Chaetodon_Chaetodon_dolosus_-1008609691,deeplearning,0.18322,1.038344582,0.672106383,0.593915221,0.888464892,0.083005254
Chaetodon_Chaetodon_ephippium_-1179871461,deeplearning,0.098237041,0.96135333,0.602244068,0.666588213,1.098443957,0.082839646
Chaetodon_Chaetodon_falcula_1821335233,deeplearning,0.09614184,1.749344834,0.601385116,0.711514421,1.129739852,0.161803572
Chaetodon_Chaetodon_fasciatus_-1886056978,deeplearning,0.183665413,0.736976294,0.62567951,0.673775239,0.773062258,0.123805211
Chaetodon_Chaetodon_flavirostris_1864146380,deeplearning,0.148425278,1.001757008,0.642756098,0.59637416,0.689719503,0.104629705
Chaetodon_Chaetodon_flavocoronatus_-1261632291,deeplearning,0.091630455,1.026774044,0.486454039,0.610833797,0.99376166,0.129520899
Chaetodon_Chaetodon_fremblii_5130835,deeplearning,0.152294107,0.788512877,0.638825745,0.482854576,0.804184891,0.127426405
Chaetodon_Chaetodon_gardineri_-1706450280,deeplearning,0.114087548,0.971967785,0.605185869,0.549186696,0.847954234,0.082749212
Chaetodon_Chaetodon_guentheri_-184146759,deeplearning,0.117851435,0.964081461,0.645116822,0.569174979,0.88240843,0.108317288
Chaetodon_Chaetodon_guttatissimus_-1623433841,deeplearning,0.191144,0.953808334,0.682560253,0.641210688,1.027005752,0.075034331
Chaetodon_Chaetodon_kleinii_-1577854379,deeplearning,0.14551163,1.047116922,0.699448949,0.512776722,0.83111172,0.055883003
Chaetodon_Chaetodon_larvatus_1783626891,deeplearning,0.116216504,1.458030546,0.651406244,0.610369377,0.799399678,0.034105175
Chaetodon_Chaetodon_leucopleura_951338608,deeplearning,0.104990184,1.127115846,0.621200614,0.613175686,0.968308381,0.211590136
Chaetodon_Chaetodon_lineolatus_1526268337,deeplearning,0.104266667,1.348348348,0.683228498,0.672903572,1.192659459,0.141864059
Chaetodon_Chaetodon_litus_1983788749,deeplearning,0.219333333,0.975975976,0.648539188,0.508934552,0.770206403,0.050246107
Chaetodon_Chaetodon_lunula_543936522,deeplearning,0.096984066,0.975537328,0.706458199,0.610835652,0.99598751,0.081273675
Chaetodon_Chaetodon_lunulatus_1113667583,deeplearning,0.136216319,0.792970727,0.709111137,0.482048258,0.74474268,0.123244229
Chaetodon_Chaetodon_madagaskariensis_1210446292,deeplearning,0.108925272,1.29206183,0.674087592,0.388766467,1.237396068,0.09423848
Chaetodon_Chaetodon_marleyi_384825925,deeplearning,0.104072417,1.195354291,0.645799532,0.581070936,0.904206784,0.151723749
Chaetodon_Chaetodon_melannotus_-1381464288,deeplearning,0.165527603,0.846473772,0.63384946,0.71437317,0.895664401,0.15502959
Chaetodon_Chaetodon_melapterus_-738901426,deeplearning,0.096398815,0.86877355,0.523136624,0.550596469,0.817071328,0.248163414
Chaetodon_Chaetodon_mertensii_992543933,deeplearning,0.129456731,1.304013006,0.642429273,0.473677621,1.161716057,0.103512549
Chaetodon_Chaetodon_mesoleucos_-899095560,deeplearning,0.1984375,1.709044369,0.521548527,0.359525226,0.814698957,0.343907015
Chaetodon_Chaetodon_meyeri_-146742631,deeplearning,0.197345588,0.97592579,0.742631187,0.696464507,1.130557452,0.155651343
Chaetodon_Chaetodon_miliaris_725437158,deeplearning,0.13529445,1.050556507,0.670831014,0.569989646,0.811628539,0.118049124
Chaetodon_Chaetodon_mitratus_-777256060,deeplearning,0.108361333,1.06292517,0.45434909,0.808830908,1.090376027,0.153247587
Chaetodon_Chaetodon_multicinctus_-1145166510,deeplearning,0.194591148,1.128004857,0.679492311,0.582170653,0.949831424,0.063106515
Chaetodon_Chaetodon_nigropunctatus_1435538384,deeplearning,0.193321909,0.983434693,0.609469893,0.447193328,0.596872659,0.165870946
Chaetodon_Chaetodon_nippon_-751379567,deeplearning,0.151495188,1.031404245,0.564150537,0.600198926,0.842009581,0.089659914
Chaetodon_Chaetodon_ocellicaudus_958979710,deeplearning,0.126331465,0.959741432,0.576663117,0.743075276,1.138476416,0.168488765
